,name,address,score,score_cnt,review_cnt,awareness,lat,lng
0,블루보틀 성수점,성수동1가 656-302,2.8,85,635,148.5,37.548074,127.045617
1,할아버지공장,성수동2가 309-133,3.0,27,257,52.7,37.5410836,127.0549046
2,차,성수동1가 685-408,2.6,28,120,40.0,37.5477942,127.0418826
3,어니언,성수동2가 277-135,3.4,140,1257,265.7,37.5446439,127.0583225
4,대림창고,성수동2가 322-32,3.3,143,601,203.1,37.5417972,127.056481
5,어반소스,성수동2가 301-16,3.6,36,605,96.5,37.5445466,127.0512295
6,센터커피 서울숲점,성수동1가 685-478,3.6,27,255,52.5,37.5464894,127.0416526
7,바이산,성수동2가 322-32,3.1,33,329,65.9,37.5417972,127.056481
8,오르에르,성수동1가 16-39,3.4,63,325,95.5,37.5434188,127.051374
9,우디집,성수동1가 311,3.9,7,192,26.2,37.5377249,127.0510195
10,멜로워 성수플래그쉽,성수동2가 333-94,3.8,27,392,66.2,37.5424991,127.0532063
11,카멜 성수점,성수동2가 570-1,3.6,35,383,73.3,37.5371935,127.0558748
12,카페성수,성수동1가 668-30,3.3,39,187,57.7,37.54749899999999,127.042485
13,자그마치,성수동2가 317-12,3.2,71,319,102.9,37.5426302,127.0567522
14,아르코커피,성수동2가 314-2,2.3,4,36,7.6,37.5447822,127.0534185
15,메쉬커피,성수동1가 685-307,4.1,40,58,45.8,37.5480807,127.0424403
16,EERT,성수동1가 685-417,2.6,23,125,35.5,37.5473872,127.0410357
17,도렐 육지3호점,성수동2가 314-12,2.6,18,153,33.3,37.5438046,127.0543237
18,카페포제,성수동2가 315-41,3.5,29,124,41.4,37.54291389999999,127.0557212
19,훔볼트,성수동2가 325-17,3.7,27,324,59.4,37.5401223,127.0555878
20,로우커피스탠드,성수동1가 8-16,4.0,26,107,36.7,37.547089,127.0465948
21,모멘토브루어스,성수동1가 685-325,4.4,29,72,36.2,37.5473679,127.0412102
22,카페앤아더,성수동1가 668-104,2.4,27,246,51.6,37.54625,127.0427964
23,카페봇,성수동2가 277-135,3.1,8,73,15.3,37.5446439,127.0583225
24,맛차차,성수동1가 685-450,2.4,18,118,29.8,37.5435182,127.0437247
25,후식당,성수동1가 656-1661,2.7,19,143,33.3,37.5425602,127.0485921
26,그레이트커피,성수동1가 685-324,3.5,32,219,53.9,37.5476319,127.0396553
27,온화 성수점,성수동2가 302-4,3.0,10,95,19.5,37.5452325,127.0526037
28,카페소소하게,성수동1가 104,3.4,21,155,36.5,37.53926,127.0468416
