,address,category,eval_cnt,name,review_cnt,score
0,서초동 1445-13,"제과,베이커리",72,루엘드파리,267,3.9
1,서초3동 1451-9,국수,79,봉산옥 서초동본점,146,3.7
2,서초동 1438-8,"찌개,전골",299,장꼬방,124,3.2
3,서초동 1600-9,"해물,생선",10,해담채 남부터미널점,47,3.1
4,서초동 1564-4,디저트카페,15,카페로비,126,3.9
5,서초동 1579-4,"육류,고기",22,감격시대,135,2.9
6,서초동 1594-3,"육류,고기",8,사람사는 고깃집 김일도 서초점,105,3.9
7,서초동 1451-34,뷔페,8,아이비스타 서초점,47,3.4
8,서초동 1459-8,중화요리,29,하오차이,66,3.4
9,서초동 1621-5,설렁탕,106,우작설렁탕,57,3.7
10,서초동 1603-1,일식,21,그림나베 남부터미널점,81,3.7
11,서초동 1594-3,"육류,고기",2,진대감 서초점,29,4.5
12,서초동 1451-38,이탈리안,36,요요마의키친,274,3.4
13,서초동 1442-9,태국음식,6,레몬그라스타이,68,4.0
14,서초동 1430-1,"제과,베이커리",48,레프레미스,93,4.1
15,서초동 1451-34,중화요리,20,선궁,36,3.9
16,서초동 1459-9,실내포장마차,13,곰포차,62,3.1
17,서초동 1446-1,햄버거,5,노브랜드버거 남부터미널점,32,4.0
18,서초동 1604-6,"떡,한과",10,도담,25,3.8
19,서초동 1622-6,"제과,베이커리",8,더브레드블루 서초점,51,4.1
20,서초동 1587,카페,4,ttt커피 비씨카드점,41,2.0
21,서초동 1427-6,갈비,7,부일갈비 본점,52,4.3
22,서초동 1425-13,"육류,고기",35,우면산버드나무집,8,3.4
23,서초동 1564-7,"육류,고기",7,송가옥,15,4.6
24,서초동 1589-8,중화요리,28,천지궁 서초점,23,3.5
25,서초동 1588-2,참치회,9,마구로센 남부터미널점,37,3.3
26,서초동 1595-8,"육류,고기",4,늘푸름홍천한우 서초점,75,3.7
27,서초동 1458-6,"초밥,롤",12,뱅스시,71,4.4
28,서초동 1591-9,"육류,고기",8,든든한우가,88,4.1
29,서초동 1589-13,"육류,고기",8,굴뚝집 남부터미널점,115,3.6
30,서초동 1603-20,"초밥,롤",22,스시환,39,2.8
31,서초동 1443-5,테마카페,9,레트로카페트레이더,33,3.6
32,서초동 1588-3,"육류,고기",9,흑돼지삼백식당 서초점,57,2.9
33,서초동 1601-1,"해물,생선",4,서초명가 서초본점,41,4.5
34,서초동 1431-9,중화요리,8,만다린,91,3.4
35,서초동 1585-18,곰탕,43,나주곰탕 서초본점,34,3.6
36,서초동 1443-4,닭요리,5,강촌식당 서초점,51,3.4
37,서초동 1451-34,패밀리레스토랑,25,매드포갈릭 예술의전당점,57,3.5
38,서초동 1597-1,일본식주점,4,705사케집 교대점,26,3.0
39,서초동 1603-69,"초밥,롤",7,스시36.5,34,5.0
40,서초동 1588-8,"호프,요리주점",5,생활맥주 남부터미널점,15,4.0
41,서초동 1457-1,커피전문점,5,스타벅스 남부터미널2점,7,3.6
42,서초동 1595-6,"육류,고기",4,함평한우정육식당 서초본점,5,3.5
43,서초동 1438-18,한식,5,정순화청국장 서초본점,8,4.6
44,서초동 1624-14,카페,4,P268,36,1.8
45,서초동 1578-4,햄버거,12,소울버킷,49,4.6
46,서초동 1445-4,커피전문점,16,스타벅스 남부터미널점,6,3.5
47,서초동 1579-6,"육류,고기",1,조선화로집 교대점,5,5.0
48,서초동 1602-1,"돈까스,우동",4,미토요,43,3.3
49,서초동 1600-4,일본식주점,4,호주,20,4.3
50,서초동 1623-1,커피전문점,13,스타벅스 서울교대점,9,2.6
51,서초동 1623-3,냉면,14,더진미평냉,11,4.5
52,서초동 1444-21,인도음식,26,타지 서초점,22,3.7
53,서초동 1578-5,회,13,해담 서초본점,4,1.9
54,서초동 1602-3,패스트푸드,20,KFC 서초동점,8,2.4
55,서초동 1586-2,실내포장마차,6,김봉남포장마차 남부터미널점,26,4.7
56,서초동 1601-2,"불고기,두루치기",5,백년불고기물갈비 서초점,26,4.6
57,서초동 1602-10,패스트푸드,21,롯데리아 남부터미널점,8,2.0
58,서초동 1443-27,일식,3,진미일식,12,5.0
59,서초동 1446-11,와인바,2,오늘와인한잔 남부터미널역점,17,4.0
60,서초동 1443-8,설렁탕,15,신선설농탕 서초점,6,3.4
61,서초동 1445-4,베트남음식,16,에머이 남부터미널점,185,2.9
62,서초동 1457-2,"육류,고기",38,찜통 남부터미널점,32,2.8
63,서초동 1629-20,카페,3,티안,26,4.3
64,서초동 1439-14,커피전문점,8,스타벅스 서초동점,1,4.0
65,서초동 1627-5,치킨,4,BHC치킨 서초교대점,2,4.3
66,서초동 1457-4,한식,4,예술상회,35,5.0
67,서초동 1603-15,카페,4,바나프레소 남부터미널점,10,2.8
68,서초동 1458-4,"육류,고기",7,오우치,20,5.0
69,서초동 1443-11,두부전문점,5,북창동순두부 서초점,14,2.4
70,서초동 1621-6,한식,1,예향,4,0.0
71,서초동 1443-25,중화요리,9,칭하이,25,2.3
72,서초동 1600-4,카페,11,엘마론,8,4.2
73,서초동 1427-5,한정식,3,수미관,21,4.3
74,서초동 1601-1,갈비,3,동수원갈비 서초본점,3,2.7
75,서초동 1624-4,"스테이크,립",7,아이언쉐프,28,4.7
76,서초동 1458-3,국밥,9,부산아지매국밥 BC카드점,12,2.9
77,서초동 1459-9,떡볶이,4,서강쇠떡볶이 남부터미널점,7,3.3
78,서초동 1457-2,커피전문점,10,탐앤탐스 남부터미널역점,4,1.9
79,서초동 1604-20,와인바,5,W23 서초점,11,3.0
80,서초동 1444-14,일식집,2,도라스시,22,4.0
81,서초동 1588-8,아구,10,서초아구해물찜탕,11,4.6
82,서초동 1606-5,회,4,우리수산,88,4.0
83,서초동 1596-6,"육류,고기",14,진오돌뼈 교대점,12,4.1
84,서초동 1439-1,"육류,고기",2,배수경양재정육식당,2,3.0
85,서초동 1624-2,만화카페,3,놀숲 교대점,6,4.7
86,서초동 1578-4,떡볶이,10,동대문엽기떡볶이 교대점,15,2.3
87,서초동 1601-1,중화요리,10,황궁,9,2.8
88,서초동 1623-10,커피전문점,5,할리스커피 남부터미널점,4,4.0
89,서초동 1579-1,갈비,27,가온매운갈비찜,31,4.3
90,서초동 1579-5,치킨,12,교촌치킨 서초3호점,6,2.9
91,서초동 1603-67,죽,14,본죽 남부터미널점,4,2.0
92,서초동 1458-6,아이스크림,2,배스킨라빈스 남부터미널역점,4,4.0
93,서초동 1606-3,카페,5,카페설리번 서초점,16,3.0
94,서초동 1603-66,회,12,삼학도,2,3.5
95,서초동 1603-1,"초밥,롤",10,스시마카세,5,3.8
96,서초동 1446-1,도넛,0,크리스피크림도넛 남부터미널점,3,0.0
97,서초동 1589-13,국밥,5,전주 콩뿌리콩나물국밥,13,2.3
98,서초동 1603-2,치킨,21,깐부치킨 남부터미널점,8,2.8
99,서초동 1458-6,치킨,20,바른치킨 남부터미널점,28,4.2
100,서초동 1603-69,"돈까스,우동",16,허수아비 남부터미널점,10,3.2
101,서초동 1599-2,분식,9,바르다김선생 남부터미널점,11,2.3
102,서초동 1602-5,국밥,3,전주콩나루 콩나물국밥,6,3.7
103,서초1동 1443-27,"찌개,전골",22,삼보부대고기,16,4.1
104,서초동 1624-2,"육류,고기",7,초막집 서초본점,5,3.0
105,서초동 1593-7,만화카페,3,카툰바이커피 서초본점,17,5.0
106,서초동 1625-10,"제과,베이커리",8,쏘옥,13,4.6
107,서초동 1586-2,중식,6,홍루몽,4,4.7
108,서초동 1602-1,"제과,베이커리",9,파리바게뜨 남부터미널점,1,3.0
109,서초동 1425-15,중화요리,4,팔당반점 서초직영점,7,3.5
