,name,category,star,star_count,review,address,위도,경도
0,루엘드파리,"제과,베이커리",3.9,72건,267,서울 서초구 서초중앙로 18 112호,37.4840476212544,127.017348668302
1,공미학,커피전문점,3.5,12건,147,서울 서초구 서초대로48길 101 1층,37.4886222050947,127.012469744697
2,봉산옥 서초동본점,국수,3.7,79건,146,서울 서초구 반포대로8길 5-6,37.4833822130797,127.012453383943
3,장꼬방,"찌개,전골",3.2,299건,124,서울 서초구 효령로 364,37.4868928106781,127.023662920981
4,해담채 남부터미널점,"해물,생선",3.1,10건,47,서울 서초구 서초중앙로5길 10-8 쁘띠오피스텔 지하1층,37.4858654442726,127.015099594605
5,카페로비,디저트카페,3.9,15건,126,서울 서초구 반포대로20길 53 1층,37.4885347740802,127.012780905228
6,감격시대,"육류,고기",2.9,22건,135,서울 서초구 서초대로50길 104,37.4885454809991,127.013718729127
7,사람사는 고깃집 김일도 서초점,"육류,고기",3.9,8건,105,서울 서초구 효령로55길 39 호텔센트로 1층,37.486578275487,127.014014385044
8,아이비스타 서초점,뷔페,3.4,8건,47,서울 서초구 반포대로 22 서초평화빌딩 지하1층,37.4828043695941,127.012703271873
9,하오차이,중화요리,3.4,29건,66,서울 서초구 효령로 260 정풍빌딩 1층,37.4840424529593,127.012634511497
10,우작설렁탕,설렁탕,3.7,106건,57,서울 서초구 서초중앙로6길 7 홍빌딩 지하1층,37.4861980516193,127.016121351333
11,그림나베 남부터미널점,일식,3.7,21건,81,"서울 서초구 서초중앙로 42 블루핀 타워 112,113호",37.4858656509843,127.016257753357
12,진대감 서초점,"육류,고기",4.5,2건,29,서울 서초구 효령로55길 39 센트로호텔 1층,37.486578275487,127.014014385044
13,요요마의키친,이탈리안,3.4,36건,274,서울 서초구 반포대로 20 1층,37.4824452369632,127.012614908746
14,심빠띠아,이탈리안,3.6,13건,115,서울 서초구 반포대로16길 30 1층,37.4863466292182,127.012374501538
15,레몬그라스타이,태국음식,4.0,6건,68,서울 서초구 효령로68길 67,37.4853601014751,127.021317868884
16,레프레미스,"제과,베이커리",4.1,48건,93,서울 서초구 남부순환로337길 36 1층,37.4843489302432,127.020638507033
17,선궁,중화요리,3.9,20건,36,서울 서초구 반포대로 22 서초평화빌딩 지하1층,37.4828043695941,127.012703271873
