,name,age,height,country,position,foot,team,joined,contract expires,goals,assists,appearances,minutes played,market value
0,Kylian Mbappé,21,"1,78 m",  France,Forward - Centre-Forward,right,Paris Saint-Germain,"Jul 1, 2018",30.06.2022,30,17,33,2.479,€200.00m
1,Raheem Sterling,25,"1,70 m","  England
  Jamaica",Forward - Left Winger,right,Manchester City,"Jul 14, 2015",30.06.2023,20,7,39,3.002,€160.00m
2,Neymar,28,"1,75 m",  Brazil,Forward - Left Winger,right,Paris Saint-Germain,"Aug 3, 2017",30.06.2022,18,10,22,1.906,€160.00m
3,Sadio Mané,27,"1,74 m",  Senegal,Forward - Left Winger,right,Liverpool FC,"Jul 1, 2016",30.06.2023,18,12,38,3.049,€150.00m
4,Mohamed Salah,27,"1,75 m",  Egypt,Forward - Right Winger,left,Liverpool FC,"Jul 1, 2017",30.06.2023,20,9,40,3.423,€150.00m
5,Harry Kane,26,"1,88 m",  England,Forward - Centre-Forward,right,Tottenham Hotspur,"Jan 1, 2011",30.06.2024,17,2,25,2.230,€150.00m
6,Kevin De Bruyne,28,"1,81 m",  Belgium,Midfielder - Attacking Midfield,right,Manchester City,"Aug 30, 2015",30.06.2023,9,20,35,2.841,€150.00m
7,Lionel Messi,32,"1,70 m","  Argentina
  Spain",Forward - Right Winger,left,FC Barcelona,"Jul 1, 2005",30.06.2021,24,16,31,2.640,€140.00m
8,Jadon Sancho,20,"1,80 m",  England,Forward - Right Winger,right,Borussia Dortmund,"Aug 31, 2017",30.06.2022,17,19,35,2.791,€130.00m
9,Antoine Griezmann,29,"1,76 m",  France,Forward - Left Winger,left,FC Barcelona,"Jul 14, 2019",30.06.2024,14,4,37,2.951,€120.00m
10,Trent Alexander-Arnold,21,"1,80 m",  England,Defender - Right-Back,right,Liverpool FC,"Jul 1, 2016",30.06.2024,2,14,40,3.365,€110.00m
11,Bernardo Silva,25,"1,73 m",  Portugal,Forward - Right Winger,left,Manchester City,"Jul 1, 2017",30.06.2025,7,8,40,2.720,€100.00m
12,N'Golo Kanté,29,"1,68 m","  France
  Mali",Midfielder - Central Midfield,right,"Jul 16, 2016",30.06.2023,"Nov 23, 2018",3,-,22,1.775,€100.00m
13,Leroy Sané,24,"1,84 m","  Germany
  France",Forward - Left Winger,left,Manchester City,"Aug 2, 2016",30.06.2021,-,-,2,70,€100.00m
14,Virgil van Dijk,28,"1,93 m","  Netherlands
  Suriname",Defender - Centre-Back,right,"Jan 1, 2018",30.06.2023,Nike,4,2,41,3.780,€100.00m
15,Paul Pogba,27,"1,91 m",  France,Midfielder - Central Midfield,both,Manchester United,"Aug 9, 2016",30.06.2021,-,2,8,610,€100.00m
16,Jan Oblak,27,"1,88 m",  Slovenia,Goalkeeper,right,Atlético Madrid,"Jul 16, 2014",30.06.2023,30,16,37,1.124,€100.00m
17,Eden Hazard,29,"1,75 m",  Belgium,Forward - Left Winger,both,Real Madrid,"Jul 1, 2019",30.06.2024,1,5,15,2.114,€90.00m
18,João Félix,20,"1,80 m",  Portugal,Forward - Second Striker,both,Atlético Madrid,"Jul 3, 2019",30.06.2026,6,3,28,2.919,€90.00m
19,Frenkie de Jong,22,"1,81 m",  Netherlands,Midfielder - Central Midfield,right,FC Barcelona,"Jul 1, 2019",30.06.2024,2,4,37,2.925,€90.00m
20,Kai Havertz,20,"1,89 m",  Germany,Midfielder - Attacking Midfield,left,Bayer 04 Leverkusen,"Jul 1, 2016",30.06.2022,10,8,34,2.077,€90.00m
21,Paulo Dybala,26,"1,77 m","  Argentina
  Italy",Forward - Second Striker,left,Juventus FC,"Jul 1, 2015",30.06.2022,13,12,34,2.376,€90.00m
22,Serge Gnabry,24,"1,75 m","  Germany
  Cote d'Ivoire",Forward - Right Winger,right,Bayern Munich,"Jul 1, 2017",30.06.2023,18,11,33,3.420,€90.00m
23,Saúl Ñíguez,25,"1,84 m",  Spain,Midfielder - Central Midfield,left,Atlético Madrid,"Jul 1, 2013",30.06.2026,4,-,37,3.339,€90.00m
24,Roberto Firmino,28,"1,81 m",  Brazil,Forward - Centre-Forward,right,Liverpool FC,"Jul 1, 2015",30.06.2023,11,12,43,3.002,€160.00m
25,Alisson,27,"1,91 m",  Brazil,Goalkeeper,right,Liverpool FC,"Jul 19, 2018",30.06.2024,17,14,28,2.904,€85.00m
26,Raheem Sterling,25,"1,70 m","  England
  Jamaica",Forward - Left Winger,right,Manchester City,"Jul 14, 2015",30.06.2023,20,7,39,1.938,€85.00m
27,Romelu Lukaku,26,"1,91 m","  Belgium
  DR Congo",Forward - Centre-Forward,left,Inter Milan,"Aug 8, 2019",30.06.2024,23,5,35,2.200,€80.00m
28,Christian Eriksen,28,"1,82 m",  Denmark,Midfielder - Attacking Midfield,both,Inter Milan,"Jan 28, 2020",30.06.2024,4,4,36,2.437,€80.00m
29,Erling Haaland,19,"1,94 m",  Norway,Forward - Centre-Forward,left,Borussia Dortmund,"Jan 1, 2020",30.06.2024,40,9,33,2.934,€80.00m
30,Lautaro Martínez,22,"1,74 m",  Argentina,Forward - Centre-Forward,right,Inter Milan,"Jul 4, 2018",30.06.2023,16,4,31,2.539,€80.00m
31,Rodri,23,"1,91 m",  Spain,Midfielder - Defensive Midfield,right,Manchester City,"Jul 4, 2019",30.06.2024,4,1,39,2.364,€80.00m
32,Sergej Milinkovic-Savic,25,"1,91 m","  Serbia
  Spain",Midfielder - Central Midfield,right,SS Lazio,"Aug 6, 2015",30.06.2024,5,7,31,3.574,€80.00m
33,Marcus Rashford,22,"1,85 m",  England,Forward - Centre-Forward,right,Manchester United,"Jan 1, 2016",30.06.2023,19,5,31,2.684,€80.00m
34,Andrew Robertson,26,"1,78 m",  Scotland,Defender - Left-Back,left,Liverpool FC,"Jul 21, 2017",30.06.2024,2,7,41,2.832,€80.00m
35,Dele Alli,23,"1,88 m","  England
  Nigeria",Midfielder - Attacking Midfield,right,Tottenham Hotspur,"Feb 2, 2015",30.06.2024,9,5,35,3.000,€80.00m
36,Timo Werner,24,"1,81 m",  Germany,Forward - Centre-Forward,right,RB Leipzig,"Jul 1, 2016",30.06.2023,27,12,36,3.108,€80.00m
37,Raphaël Varane,26,"1,91 m","  France
  Martinique",Defender - Centre-Back,right,Real Madrid,"Jul 1, 2011",30.06.2022,3,1,33,2.437,€80.00m
38,Joshua Kimmich,25,"1,76 m",  Germany,Midfielder - Defensive Midfield,right,Bayern Munich,"Jul 2, 2015",30.06.2023,4,8,36,3.120,€80.00m
39,Heung-min Son,27,"1,84 m","  Korea, South",Forward - Left Winger,both,Tottenham Hotspur,"Aug 28, 2015",30.06.2023,16,9,32,2.281,€75.00m
40,Casemiro,28,"1,85 m","  Brazil
  Spain",Midfielder - Defensive Midfield,right,Real Madrid,"Jul 1, 2013",30.06.2023,4,4,35,541,€75.00m
41,Matthijs de Ligt,20,"1,89 m",  Netherlands,Defender - Centre-Back,right,Juventus FC,"Jul 18, 2019",30.06.2024,2,-,27,2.396,€75.00m
42,Aymeric Laporte,25,"1,90 m",  France,Defender - Centre-Back,left,"Jan 30, 2018",30.06.2025,"Feb 22, 2019",-,-,8,1.958,€75.00m
43,Marco Verratti,27,"1,65 m",  Italy,Midfielder - Central Midfield,right,Paris Saint-Germain,"Jul 18, 2012",30.06.2024,-,6,33,2.837,€75.00m
